user_id,user_name,place_name,rating,review_text,date,likes_count,reviewer_link,reviewer_image,photos
11,Paras Mani Amgain,Taleju Temple,5,"Legenday Taleju- the once a year shrine at the Kathmandu Durbar Square, is an exquisite gem that perfectly captures the rich cultural heritage of Nepal.",6 months ago,0,https://www.google.com/maps/contrib/117351034781183086591/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWruUYVM_CUVzMt3hVaDJvwx0A_mXgOQZeuUJ5psDhX6ctvQOQaLQ=w36-h36-p-rp-mo-ba6-br100,https://lh5.googleusercontent.com/p/AF1QipP6YMfmMPN9gFvKzhQe96OHvrKQ_hyCMvTRxMzm=w600-h450-p-k-no
12,Nickace Buzzlightyear,Taleju Temple,5,"तलेजु भवानी मन्दिर
Taleju Bhawani Temple
Taleju Bhawani Temple is a magnificent architectural and spiritual landmark located in the Kathmandu Durbar Square of Nepal. Built during the Malla dynasty in 1564 by King Mahendra Malla, it is dedicated to the goddess Taleju Bhawani, the royal deity of the Malla kings. The temple is not only a place of worship but also a symbol of Nepal’s rich cultural heritage and artistic excellence.

The temple's three-tiered pagoda-style structure stands majestically on a high plinth. Its intricate wooden carvings and metalwork reflect the finest craftsmanship of the medieval period. The main deity of the temple, Taleju Bhawani, is revered as a protector of the nation, and her blessings are sought by devotees during special ceremonies. However, the temple opens to the public only once a year during the Dashain festival, adding an aura of exclusivity and sanctity to the shrine.

Surrounded by smaller shrines and stone sculptures, the temple is a visual representation of Nepalese religious art. It also holds historical significance, as it symbolizes the blending of religion, politics, and culture during the Malla era. The temple is a UNESCO World Heritage site, attracting tourists and devotees alike.

In conclusion, the Taleju Bhawani Temple is more than just a religious monument. It is a testament to Nepal's glorious history, architectural ingenuity, and spiritual depth, making it an invaluable treasure for the nation and the world.",3 weeks ago,1,https://www.google.com/maps/contrib/105593709235963434837/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVVXwWSJgvs1GsBFUu76rydNTWnszq5MJ_JzbXw9hmXUFQdAI0=w36-h36-p-rp-mo-ba6-br100,
13,Sovendra Thapa,Taleju Temple,4,"Taleju Bhawani Temple is located in Hanuman Dhoka, Kathmandu Darbar Square listed in UNESCO World Heritage Site which exhibit the Hindu culture and it opened only once a year for Hindu people on the Ocassion of Dashain festival. People belive that the temple was built in the shape of Yantra.",a year ago,0,https://www.google.com/maps/contrib/107921790834057771738/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWjFabbVjx6YDh4LofBa7sFb_QKOgHDP3AnTOOVZO5ZfFAYgTqz=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipP8cQa6mZ4FWg7VcByL451TTimyJfOb9033L5xj=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMe560G44ZdacV-xujBximp6QLfnm1b5JEBPxNf=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNEsxJ_L2d8IMdc5KupkRdrk_xyLdrSiDG0vl0q=w300-h225-p-k-no"
14,Amartya Ghosal,Taleju Temple,5,"The most significant and magnificent Temple of Kathmandu Durbar Square (Basantpur Durbar Square). Built by Mahendra Malla of Malla Dynasty in sixteenth century this temple is dedicated to Taleju Bhawani.

It has a huge religious significance among the Hindu community (the largest) in Nepal. The temple remains closed throughout the year and only during Durga Puja it opens it's door to the commoners.",a year ago,3,https://www.google.com/maps/contrib/100847388507314358016/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocI5GMnQ-nLGdthpC-PFi3WAuanM4RPbq6jpEegd6TX9-1NFbg=w36-h36-p-rp-mo-ba5-br100,"https://lh5.googleusercontent.com/p/AF1QipN6H4AiPWZU7sZNztLphk7poKWAWCcs_zKX73vF=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOAfFSF21GXalPnNsgjOD3GRvSJv9uQoX74KEU4=w300-h450-p-k-no"
15,Bipin Karki,Taleju Temple,5,"The Taleju Bhawani Temple, located in the heart of Kathmandu Durbar Square, is an extraordinary piece of Nepalese history and culture. This beautiful temple is dedicated to the powerful goddess Taleju Bhawani, who was worshipped by the Malla kings. Its historical significance and architectural beauty make it one of the most important landmarks in the square. However, the temple is only open to the public for a brief period during the Dashain festival, particularly on the occasion of Vijaya Dashami, which adds to the temple’s mystique.

Built by King Mahendra Malla in 1563, the temple's design is a masterful representation of traditional Newari craftsmanship. The intricate wooden carvings and gilded copper roofs reflect the rich cultural heritage of the Kathmandu Valley. The three-tiered pagoda structure is said to be built in the shape of a Yantra and is supported by twelve massive steps, symbolizing the lower slopes of Mount Meru. Surrounding the main temple are sixteen smaller shrines, which enhance the spiritual significance of the site.

Even though visitors can't enter the temple except during Dashain, the exterior is breathtaking. The temple's ornate wood carvings, symbolic toranas above the doorways, and the detailed artistry on the false and real doors showcase the incredible skills of the artisans from the Malla period. The roofs, covered in gilt copper sheets, give the structure an aura of grandeur and reverence.

The temple holds immense religious importance for the Hindu community in Nepal, especially during Durga Puja. During this festival, thousands of devotees come to pay homage to Taleju Bhawani. If you're lucky enough to visit during this time, it's a truly sacred experience. The rest of the year, visitors can still admire the temple’s grandeur from the outside, which is well worth the visit, even if access to the interior is restricted.

Overall, the Taleju Bhawani Temple is a must-visit for those interested in Nepalese culture and history. The combination of its religious significance, stunning architecture, and connection to the Malla dynasty make it a true gem of Kathmandu Durbar Square.",2 months ago,0,https://www.google.com/maps/contrib/102525129989253382589/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWI40HTtDbHVAf8oypbLpgwNobg7vu4-f0Ref6prisCNGV9oQA=w36-h36-p-rp-mo-ba6-br100,
16,Rawjesh Rajbhandari,Taleju Temple,5,"The Taleju Temple is one of Hanuman Dhoka Darbar Square's oldest structures. A ""great temple"" was built in 1563, under Mahendra Malla's rule, according to ancient diaries (tyasaphus) (r. 1560-74). Four notable structures, including the Jagannath, Kotilingeswar Mahadev, and Mahendreswara temples, are known to have been constructed at Darbar Square under the reign of Mahendra Malla. The Malla period building spree was financed by the kingdom's efforts to issue Tibetan currency for export and increase trade with other Himalayan kingdoms. The temple's current design resembles a cosmic mandala. The main structure has three levels of roofing and is supported by a base with twelve steps that resembles Mount Meru's lower slopes. There are sixteen satellite shrines built as two-story Newar towers all around the sanctuary. Notably, the main structure's roofs are covered in gilt copper sheets and supported by wooden struts with carvings of many gods. The temple is accessed by four portals—one on each side—each of which has a true door and two false doors. With carved wooden colonnettes, toranas over the main doorways, and pointed blocks (bhailahkva) flanking the lower door jambs, each is elaborately articulated.",a year ago,3,https://www.google.com/maps/contrib/103381238721215750734/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX39Md4hkTVu0SQh4ZmsQnp58qXicXvczboGwv_Fj15VQnj06M=w36-h36-p-rp-mo-ba7-br100,"https://lh5.googleusercontent.com/p/AF1QipPMnusaVDkj4FKRdsdlUd8d78nrxNgyaQx9mKXz=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPAoJdxzHxhDzk0jqZsiFMRrY6xmUJDdMfjJDpN=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNlZlQUAKz8tG79j6vbvQESRVcFgoFAzVSArlS9=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPNg_XXyGiTOQ7HhVR-Obbyd6wJoK4PeSjvI1Be=w300-h225-p-k-no"
17,Umesh Duwal,Dipankar Mahavihar,5,Historical and Architectural Place,a week ago,0,https://www.google.com/maps/contrib/101527774341780079897/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjW4g1USc93KoNKHlpWjI7B_xc0KUEbpX1uIBrhHlGrgJaAHTj0=w36-h36-p-rp-mo-ba5-br100,https://lh5.googleusercontent.com/p/AF1QipMtJdrGTkO_mQHL_Hg7b4PPhY9MFR43nGRjxrFI=w600-h450-p-k-no
18,Sumartono Sutartho,Dipankar Mahavihar,5,May Dipankar Buddha bless and support Dharma Cultivator.,a year ago,0,https://www.google.com/maps/contrib/101259967523436171549/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocK6jdWC3WxOKeTSEOGCL6oK-dsYUtBPeXc8Y_Bd4SGUD5FJWA=w36-h36-p-rp-mo-ba4-br100,
19,Alice,Dipankar Mahavihar,5,a peaceful place 😌😌😌 …,a year ago,1,https://www.google.com/maps/contrib/102062581901710283959/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXCnjHFlxGiS8YRFcO21GO2z7h9nLbwfhNL4Sw1-yH-nQVvGzTEPw=w36-h36-p-rp-mo-ba6-br100,"https://lh5.googleusercontent.com/p/AF1QipMflOSk1aFUXy9zVE_4xyOcq5CLzz8WNMZiRXIn=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO9nHORv8FwDPE5j3HOy_8D41VWFB20ZIYEydI7=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNa-jqdOscqgY2ZkKTxwRKfghPAoeqDInJ7PfJu=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNZy2yJm-4_Usf4Sl3vmFh2zgbWpC0oB-gOd68t=w300-h225-p-k-no"
20,Binaya Bajracharya,Dipankar Mahavihar,5,Peaceful and relaxing☮️,5 years ago,0,https://www.google.com/maps/contrib/100182605901718169985/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWfO545EP-mhyb8RYWqHS0vc_1Ec92dtVGJfCI7xBx08jMprDkljg=w36-h36-p-rp-mo-ba2-br100,
21,Sangeet Kayastha,Dipankar Mahavihar,4,Small temple,8 years ago,0,https://www.google.com/maps/contrib/102609716737004563810/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjV-Tg5fyjsalUbZCqp1IGxR5HVSP_bV39h4WeDiCnFqJvld-7qLjg=w36-h36-p-rp-mo-ba5-br100,
22,Jacques Derosier,Dipankar Mahavihar,5,Interesting little temple. Beautiful illustrations of different Tantric Buddhist deities. Small chatya in the center. Very quiet place.,4 years ago,1,https://www.google.com/maps/contrib/108383581283325151618/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX4xuMg0dGGXTIRVvRD7xZIothvHF5WfqilEYSoymvtJQNlzWg=w36-h36-p-rp-mo-ba4-br100,https://lh5.googleusercontent.com/p/AF1QipP3-QeakE1ZfYYe2rK0P1x_iIzVk3x1vP2qiX7R=w600-h450-p-k-no
23,Suresh Kawan (Travel diaries - mama),Dipankar Mahavihar,5,"This place is located in Golmadhi tole, dated back 1707 A.D. the bihar comprises of Dipanker Tathagat, Akchoyobhye Buddha, Lokeshwor, Tara, Bhu CHAitya, Bajradhatu chaitya, Shikhara CHAitya, Ganesh and Mahankaal.",7 years ago,1,https://www.google.com/maps/contrib/101665558159171469104/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUkpLFRUpjpm91-AxYW_W7C5sGCtWEeAyIuFmHZ8GRvBR4fD6o0=w36-h36-p-rp-mo-ba6-br100,
24,Ganesh Ranjeet,Dipankar Mahavihar,5,"Jhaur Bahi / Mangaldharmadwipa Mahabihar
This Bihar was built in the year 1707 during the reign of King Bhupatindra Malla. Bihar means a holy land of Buddhism. Located in Bhaktapur Golmadhi, this Buddha in Bihar is one of the five Dipankara Buddhas in Bhaktapur city. Dipankar is a Sanskrit word which means to come with a lamp.  Dipankar Buddha came to this earth one hundred thousand years ago to light the lamp of knowledge. Dipankar Buddha is called Dipankha Buddha in Nepal language. The five Bihars of Dipankar in Bhaktapur are different types of Bihars in Nepal Mandal. A two-storied courtyard is built all around, while a large square is built in the middle of the courtyard. There is a stupa of Buddha in that square. A supernatural idol of Lord Dipankar is placed in one of the rooms of Sat, while a five-sided window is placed above the main entrance. Built in a very peaceful environment, this place has been built in an environment that makes you want to go again once you visit it. The three chaityas in the middle add to the beauty of this place. Among those three Chaityas are Tathagata Akshovya, Bajradhatu Chaitya, and Sikgrara Chaitya. Apart from this, idols of Shri Ganesha and Mahakal have also been installed. On the day of Bhadra Krishna Trayodashi, Jatra is held here during Panchdan Maha Parva and Jatra is also held on the day of Magh Sakranti. And also there is a special fair held in Gunla for a month. Previously Ranjitkars used to perform daily bhajan, but on Sakimana Purnima day Ranjitkars also perform Halimali (God of bread).",3 years ago,0,https://www.google.com/maps/contrib/103102470958832842957/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXVBAAOXg1CXY5AeF5hZ4oqatbvZtNHhL_fTgff2IckQdwekpxy=w36-h36-p-rp-mo-ba5-br100,https://lh5.googleusercontent.com/p/AF1QipPVtu4DgyfZEGS9bCoT9Eiyj3UhXEQI3AFVJmG-=w600-h450-p-k-no
25,Warshi Dandeniya,Uma Maheshwor temple,5,Great view of Kathmandu Valley from here. A beautiful temple. Walk up the hill through old residential area of Newari people is a nice experience.,2 weeks ago,0,https://www.google.com/maps/contrib/115456072073266368500/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUm9gJr6XTq5XLgc2hOs62Nwd6Tit3QmXORq9jvuiXlOGxlMvrX=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipMBPAJSIL4joIvEpWY8gVDFVV2yV08ngmD9gwhq=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNES8LfiTL874F0E1tYuVC5xLuxnPBYq0UvoFlw=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO4dJ9qtJJf1StImr2A3NatLSkfhofJ2Hwh4AYX=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPQ7gelJn8LAgeZBJX5gi8jiePE3_ifdiilFQXZ=w300-h225-p-k-no"
26,Shital Regmee,Uma Maheshwor temple,4,"Beautiful temple, beautiful location situated on top of Kirtipur hillock in Kathmandu valley. 360 view of Kathmandu valley can be seen from the area. A must visit place in Kirtipur.",a month ago,0,https://www.google.com/maps/contrib/110943494614028402260/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUzQF6jNrpH-VbwLvF2_JdtrJ-f7eCI-tQBbWIepqrsEXfnlsM=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipP6xP5JTGGmGOfkuAU3__HYrOigZ76OS1WpydnU=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPpg6zmP2C87JGkbC05hq43dR36EjMr6eVGxdqO=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPlUkUcwUu9PurKAATwQ0pUH77-tx4rCS6BlaZl=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOd-VoOkb2CMfFXa-sTDS-0LpOAemz6XDLISeEo=w300-h225-p-k-no"
27,Bishal Gyawali,Uma Maheshwor temple,5,"The Uma Maheshwor Temple offers a serene escape from the bustling city life of Kathmandu. Perched atop a hill, this ancient temple boasts stunning views of the valley and surrounding mountains.
The temple's intricate architecture and peaceful ambiance create a spiritually uplifting experience. The main shrine houses the deities Uma (Parvati) and Maheshwor (Shiva), and the surrounding area is dotted with smaller shrines and prayer wheels.I really enjoyed visiting there.Hope you will also feel same.",3 weeks ago,0,https://www.google.com/maps/contrib/117721066521980440293/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocL_R__rCeDAjiDY3c8SIUfb-aRYQbxeck5X8GrgNtXCNSegXxxq=w36-h36-p-rp-mo-ba5-br100,"https://lh5.googleusercontent.com/p/AF1QipNxxfkEtAS2-mbDZlIFri-1C5lJwEetF8B1uJ1N=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPH7fN5NhF9SySamkbTxl35z0QG19-ZcqT9iXzT=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPcy500m5EkWzxh0CoXB_4MCQx8beFNOjasUAwP=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMcIZaO3r_UbLqNAl5-FxuFiMdCKgBXk5CFY7Ea=w300-h225-p-k-no"
28,Rawjesh Rajbhandari,Uma Maheshwor temple,5,"The Uma Maheshwor Temple in Kirtipur, Nepal, is a sacred site that holds great cultural and religious significance. Dedicated to the Hindu deities Shiva and Parvati (known as Maheshwor and Uma in their divine forms), this ancient temple is a popular pilgrimage destination for devotees and tourists alike.

The temple's architecture reflects traditional Newari craftsmanship and design, with intricate woodcarvings, pagoda-style roofs, and ornate metalwork decorating its exterior. As visitors approach the temple, they are greeted by a sense of peace and tranquility, enhanced by the serene surroundings and views of the Kathmandu Valley.

Inside the temple complex, devotees offer prayers, light oil lamps, and perform rituals to seek blessings from Lord Shiva and Goddess Parvati. The temple is also known for its annual festivals and religious ceremonies, which attract large crowds of worshippers and spectators.

Apart from its religious significance, the Uma Maheshwor Temple is also a symbol of Nepal's rich cultural heritage and architectural prowess. The site's historical importance is underscored by its preservation efforts and ongoing maintenance, ensuring that future generations can continue to appreciate and cherish this sacred place.

Ultimately, the Uma Maheshwor Temple in Kirtipur stands as a testament to the enduring spiritual beliefs and architectural legacy of the Nepalese people, offering a glimpse into the country's vibrant past and continuing traditions",7 months ago,0,https://www.google.com/maps/contrib/103381238721215750734/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX39Md4hkTVu0SQh4ZmsQnp58qXicXvczboGwv_Fj15VQnj06M=w36-h36-p-rp-mo-ba7-br100,"https://lh5.googleusercontent.com/p/AF1QipOdajjYgj_YoikyqhHjTMiudjLVwtptHUKd1clG=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPLlXqmHGHXHHpirWdaihKpw1gTgP2T1zQtwhLM=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP56w1OPWNz9M4I50FxMAVe1AbFOkxk4aNiZq9_=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNckXEfGVjnPo9WBOnKY9wXDkja25Han8wxrHUw=w300-h225-p-k-no"
29,Prajen Maharjan,Uma Maheshwor temple,5,Best place to hangout with family and friends enjoying beautiful views of kathmandu lalitpur must visit place in Kathmandu. do visit in weekdays weekend are little crowded,a month ago,0,https://www.google.com/maps/contrib/118398673186795605519/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUJRWl0jeKOMo_LpmL5TOUsxG_nraka5W2LK_gRTQkduITRhDuw=w36-h36-p-rp-mo-br100,https://lh5.googleusercontent.com/p/AF1QipNG5ys_ppFXr54eRMSlX_BRTJ6RRw_WDF0tuRGN=w600-h450-p-k-no
30,Susan Shrestha,Uma Maheshwor temple,5,"Loved the temple and its ambiance, especially at night. Peaceful place to be away from hustle and bustle of city. Visit the place by yourself and find out",6 months ago,0,https://www.google.com/maps/contrib/109601765054612893077/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUFIWg0sdb_Y98hVX6OYDcqoZJjVxsdKUdkPK6c4C4XdjuDqVUj=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipOjsUM62NSNQADuOwCNPyPrDYtD8mtJsk6n1IHg=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNvrBzZNXUQeYoBnVxkmOlc3iWZlcvi0UPwGQdu=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipN-gwTI6UZkjOmExmJUNzaSSH95OQFKk4N-duLg=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOjnOfvh_truVTFma8ZAM2O-kY7Y8OZtXcJRi68=w300-h225-p-k-no"
